REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,TIME_PERIOD,VALUE
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_TOTAL,Total,2022,569.127
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y15-24,15-24,2022,50.836
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y25-54,25-54,2022,485.344
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y55-64,55-64,2022,28.335
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_YGE65,65+,2022,4.612
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_TOTAL,Total,2022,398.6
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_Y15-24,15-24,2022,35.276
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_Y25-54,25-54,2022,339.045
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_Y55-64,55-64,2022,21.17
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_YGE65,65+,2022,3.109
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_TOTAL,Total,2022,170.527
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_Y15-24,15-24,2022,15.56
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_Y25-54,25-54,2022,146.299
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_Y55-64,55-64,2022,7.165
KEN,Kenya,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_YGE65,65+,2022,
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_YGE15,15+,2019,1939.316
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_Y15-64,15-64,2019,1860.086
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_Y15-24,15-24,2019,136.146
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_YGE25,25+,2019,1803.17
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_YGE15,15+,2019,1264.26
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_Y15-64,15-64,2019,1192.289
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_Y15-24,15-24,2019,84.186
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_YGE25,25+,2019,1180.074
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_YGE15,15+,2019,675.057
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_Y15-64,15-64,2019,667.797
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_Y15-24,15-24,2019,51.961
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_YGE25,25+,2019,623.096
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_TOTAL,Total,2019,1939.316
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y15-24,15-24,2019,136.146
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y25-54,25-54,2019,1544.527
NGA,Nigeria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y55-64,55-64,2019,179.412
