REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,JOB,JOB_LABEL,TIME_PERIOD,VALUE
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2024,194.163
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2024,1276.897
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_X,Unknown,2020,49.437
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_X,Unknown,2020,36.934
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_X,Unknown,2020,12.503
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2024,1033.7
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2024,599.247
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2024,434.453
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2024,632.96
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2024,338.907
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2024,294.053
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2024,400.74
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2024,260.34
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2024,140.4
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2024,158.53
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2024,57.492
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2024,101.038
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2024,86.165
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2024,21.254
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2024,64.911
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2024,72.365
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2024,36.238
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2024,36.127
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2024,30465.909
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2024,4343.846
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2024,26122.062
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2024,14420.397
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2024,1039.066
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2024,13381.331
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2024,16045.512
