REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,STE,STE_LABEL,TIME_PERIOD,VALUE
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,544.139
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,1471.06
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,1211.546
MEX,Mexico,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,259.514
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,1033.7
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,850.869
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,182.832
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,632.96
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,495.02
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,137.94
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,400.74
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,355.848
PER,Peru,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,44.892
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,158.53
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,121.943
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,36.573
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,86.165
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,65.466
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,20.685
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,72.365
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,56.477
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,15.888
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_X,Workers not classifiable by status,2024,
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_X,Workers not classifiable by status,2024,
URY,Uruguay,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_X,Workers not classifiable by status,2024,
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,30465.909
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,29417.865
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,1048.044
