REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,EDU,EDU_LABEL,TIME_PERIOD,VALUE
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_X,Level not stated,2024,0.465
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_TOTAL,Total,2024,6.196
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_BAS,Basic,2024,0.94
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_INT,Intermediate,2024,2.475
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_ADV,Advanced,2024,2.645
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_X,Level not stated,2024,
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_TOTAL,Total,2024,12.297
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_BAS,Basic,2024,3.837
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_INT,Intermediate,2024,3.902
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_ADV,Advanced,2024,3.868
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_X,Level not stated,2024,
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,EDU_ISCED11_TOTAL,Total,2024,18.493
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,EDU_ISCED11_1,1. Primary education,2024,1.197
CHE,Switzerland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,EDU_ISCED11_2,2. Lower secondary education,2024,3.581
