job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
Football player,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Forklift Operator,1881.1,61330.089,61330.089,1881.1,63211.189,0.9702410280559665,0.029758971944033517
Gardener,4140.214,14201.966,14201.966,4140.214,18342.18,0.7742790660652115,0.22572093393478856
Geologist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Graphic Designer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Grocer,39834.04,43044.372,43044.372,39834.04,82878.41200000001,0.5193677214761305,0.48063227852386936
Hair dresser,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Handyperson,5909.849,16596.003,16596.003,5909.849,22505.852,0.7374083416171048,0.2625916583828953
Health Inspector,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Historian,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Hotel Concierge,14040.315,8285.101,8285.101,14040.315,22325.416,0.37110623157033223,0.6288937684296678
Hotel Manager,4850.112,7515.564,7515.564,4850.112,12365.676,0.6077762347970301,0.3922237652029699
Human Resources Specialist,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
IT Support Specialist,4655.2029999999995,15311.815999999999,15311.815999999999,4655.2029999999995,19967.019,0.7668553828691203,0.23314461713087964
Illustrator,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Industrial Designer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Insurance Underwriter,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Janitor,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Jeweller,2114.273,5135.843,5135.843,2114.273,7250.116,0.708380803838173,0.29161919616182697
Journalist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Judge,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Lawyer,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Librarian,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Lifeguard,3396.599,28456.007999999998,28456.007999999998,3396.599,31852.606999999996,0.8933651176495538,0.10663488235044624
Loan Officer,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Logger,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Logistics Manager,6600.304,11837.514,11837.514,6600.304,18437.818,0.6420235843525519,0.3579764156474481
Magician,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Makeup Artist,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Marine Biologist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Marketing Manager,6604.327,10796.054,10796.054,6604.327,17400.381,0.6204492878632945,0.3795507121367055
Masseur,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Mathematician,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Mayor,2518.168,5710.225,5710.225,2518.168,8228.393,0.6939660028391935,0.3060339971608065
Mechanic,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Meteorologist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Midwife,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Miner,11120.758,23373.541,23373.541,11120.758,34494.299,0.6776059139511721,0.32239408604882797
Model,39834.04,43044.372,43044.372,39834.04,82878.41200000001,0.5193677214761305,0.48063227852386936
Musician,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
